Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
Function,"Caseerror",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,2,0,0,0,3,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,"0.00",,,,
