Techniques,Tarantula,OToThePowerP,BigO,OToThePowerD,Kulczynski1,Kulczynski2,Jaccard,Ochiai,Ample,Ample2,Wong1,Wong2,Wong3,Wong3Dash,GP13,CbiInc,CbiLog,CbiSqrt,SorensenDice,M1,M2,M3,Lee,RogersAndTanimoto,Goodman,SimpleMatching,Hamann,Euclid,Hamming,Rogot1,Rogot2,Binary,Gower1,Gower2,Gower3,AddedValue,Manhattan,Braun,Levandowsky,Simpson,Dice,MutantAt72
Line 1,0.505407354001442,205.022095509622,30,1371.00483091787,0.150145772594752,0.565272496831432,0.130544993662864,0.361310107335602,0.032604470359572,0.021398002853067,206,-1166,201.838,4.16200000000001,206.069830508475,0.002435540926546,0.004859246958253,0.004859246958253,0.230941704035874,0.17201166180758,0.069127516778524,0.293532338308458,236,0.079194630872483,-0.538116591928251,0.146766169154229,-0.706467661691542,15.3622914957372,236,0.075747357166628,0.537985749128983,1,-0.706467661691542,0.255965292841649,1,0.130544993662864,0.146766169154229,0.130544993662864,0.130544993662864,1,0.261089987325729,0
Line 2,0.505407354001442,205.022095509622,30,1371.00483091787,0.150145772594752,0.565272496831432,0.130544993662864,0.361310107335602,0.032604470359572,0.021398002853067,206,-1166,201.838,4.16200000000001,206.069830508475,0.002435540926546,0.004859246958253,0.004859246958253,0.230941704035874,0.17201166180758,0.069127516778524,0.293532338308458,236,0.079194630872483,-0.538116591928251,0.146766169154229,-0.706467661691542,15.3622914957372,236,0.075747357166628,0.537985749128983,1,-0.706467661691542,0.255965292841649,1,0.130544993662864,0.146766169154229,0.130544993662864,0.130544993662864,1,0.261089987325729,0
Line 3,0.505407354001442,205.022095509622,30,1371.00483091787,0.150145772594752,0.565272496831432,0.130544993662864,0.361310107335602,0.032604470359572,0.021398002853067,206,-1166,201.838,4.16200000000001,206.069830508475,0.002435540926546,0.004859246958253,0.004859246958253,0.230941704035874,0.17201166180758,0.069127516778524,0.293532338308458,236,0.079194630872483,-0.538116591928251,0.146766169154229,-0.706467661691542,15.3622914957372,236,0.075747357166628,0.537985749128983,1,-0.706467661691542,0.255965292841649,1,0.130544993662864,0.146766169154229,0.130544993662864,0.130544993662864,1,0.261089987325729,0
Line 4,0.505407354001442,205.022095509622,30,1371.00483091787,0.150145772594752,0.565272496831432,0.130544993662864,0.361310107335602,0.032604470359572,0.021398002853067,206,-1166,201.838,4.16200000000001,206.069830508475,0.002435540926546,0.004859246958253,0.004859246958253,0.230941704035874,0.17201166180758,0.069127516778524,0.293532338308458,236,0.079194630872483,-0.538116591928251,0.146766169154229,-0.706467661691542,15.3622914957372,236,0.075747357166628,0.537985749128983,1,-0.706467661691542,0.255965292841649,1,0.130544993662864,0.146766169154229,0.130544993662864,0.130544993662864,1,0.261089987325729,0
Line 5,0.505407354001442,205.022095509622,30,1371.00483091787,0.150145772594752,0.565272496831432,0.130544993662864,0.361310107335602,0.032604470359572,0.021398002853067,206,-1166,201.838,4.16200000000001,206.069830508475,0.002435540926546,0.004859246958253,0.004859246958253,0.230941704035874,0.17201166180758,0.069127516778524,0.293532338308458,236,0.079194630872483,-0.538116591928251,0.146766169154229,-0.706467661691542,15.3622914957372,236,0.075747357166628,0.537985749128983,1,-0.706467661691542,0.255965292841649,1,0.130544993662864,0.146766169154229,0.130544993662864,0.130544993662864,1,0.261089987325729,0
Line 6,0.505407354001442,205.022095509622,30,1371.00483091787,0.150145772594752,0.565272496831432,0.130544993662864,0.361310107335602,0.032604470359572,0.021398002853067,206,-1166,201.838,4.16200000000001,206.069830508475,0.002435540926546,0.004859246958253,0.004859246958253,0.230941704035874,0.17201166180758,0.069127516778524,0.293532338308458,236,0.079194630872483,-0.538116591928251,0.146766169154229,-0.706467661691542,15.3622914957372,236,0.075747357166628,0.537985749128983,1,-0.706467661691542,0.255965292841649,1,0.130544993662864,0.146766169154229,0.130544993662864,0.130544993662864,1,0.261089987325729,0
Line 7,0.700008321544479,143.700641482537,-1,419.304347826087,0.298755186721992,0.477174137574881,0.230031948881789,0.42246363344843,0.001362622442052,0.399457086270654,144,-276,140.79,3.21000000000001,144.146341463415,0.127209696199852,0.223886857361373,0.220821372400945,0.374025974025974,2.33609958506224,0.068899521531101,1.40049751243781,1126,0.538755980861244,-0.251948051948052,0.700248756218906,0.400497512437811,33.555923471125,1126,0.328395469807415,0.648847315506687,0,0.400497512437811,0.82370153621068,0.68897807080407,0.25531914893617,0.700248756218906,0.25531914893617,0.230031948881789,0.699029126213592,0.460063897763578,0
Line 8,0.700008321544479,143.700641482537,-1,419.304347826087,0.298755186721992,0.477174137574881,0.230031948881789,0.42246363344843,0.001362622442052,0.399457086270654,144,-276,140.79,3.21000000000001,144.146341463415,0.127209696199852,0.223886857361373,0.220821372400945,0.374025974025974,2.33609958506224,0.068899521531101,1.40049751243781,1126,0.538755980861244,-0.251948051948052,0.700248756218906,0.400497512437811,33.555923471125,1126,0.328395469807415,0.648847315506687,0,0.400497512437811,0.82370153621068,0.68897807080407,0.25531914893617,0.700248756218906,0.25531914893617,0.230031948881789,0.699029126213592,0.460063897763578,0
Line 9,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 10,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
Line 11,0.673390970220941,205.515324305061,722,679.004830917874,0.302941176470588,0.616252821670429,0.232505643340858,0.482188389886005,8.55466840475802E-05,0.514978601997147,206,-474,202.53,3.47,206.131545338442,0.104396190604539,0.189055687610428,0.189055687610428,0.377289377289377,1.36470588235294,0.090034965034965,1.15422885572139,928,0.405594405594406,-0.245421245421245,0.577114427860697,0.154228855721393,30.4630924234556,928,0.286215156887001,0.686871061334501,1,0.154228855721393,0.73186119873817,1,0.232505643340858,0.577114427860697,0.232505643340858,0.232505643340858,1,0.465011286681716,0
