Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,85,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,85,13,44,26,0,0,5,4032,4,55,55,17,0,52,16,16,17,3,4,,,,,2,,3,2,,"0.31",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
Function,"InfoTbl",,,,26,86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,26,86,13,45,25,0,0,5,4032,4,56,56,17,0,53,16,16,17,8,9,,,,,9,,3,9,,"0.29",,,,
